doc_index	title	categories
4297	Kako so Zaplankarji konja pognali	humoreske, slovenska_knjizevnost, vrtec
4353	Košček sira	mladinska_knjizevnost, slovenske_kratke_pravljice
4382	Sosed gora	slovenska_knjizevost, slovenski_pesniki, zbirka_slovenskih_leposlovnih_besedil
4386	Krajnska čbelica, 5	dela_v_bohoricici, pesniske_zbirke
4457	Volčje jagode	slovenska_knjizevost, slovenski_pesniki, zbirka_slovenskih_leposlovnih_besedil
4487	Pesmarica prvih besed	pesniske_zbirke, zbirka_slovenskih_mladinskih_leposlovnih_besedil
4490	Abeceda idej s Suzi	abeceda, abecedniki
4497	Se me kaj bojite?	slovenske_pravljice, zbirka_slovenskih_mladinskih_leposlovnih_besedil
4498	Aksinja Kermauner	avtorice, slovenski_avtorji
4505	Črtice iz francoskih bojev na Koroškem leta 1813	koroska_knjizevnost, mohorjeva_druzba, zgodovina
4506	Slovenske večernice	prirocniki, zdravstvo
4507	Trubarjev zbornik	biografije, literarna_zgodovina
4508	Sanja Pregl	avtorice, slovenski_avtorji
4542	Bogovec Jernej	zgodovina, zgodovinski_romani
4577	Hop v pravljico	drame, zbirka_slovenskih_mladinskih_leposlovnih_besedil
4578	Od pluga do krone	biografije, zgodovinski_romani
4579	Ribičeva hči	drame, gorenjec
4581	Oče Damijan	biografije, damijan_de_veuster
4582	Dober dan, palčki	delad, zbirka_slovenskih_mladinskih_leposlovnih_besedil
4583	Zdenka Obal	avtorice, slovenski_avtorji
4595	Saša Vrandečič	avtorice, slovenski_avtorji
4596	Andreja Vukmir	avtorice, slovenski_avtorji
4597	Renata Anžič Trtnik	avtorice, slovenski_avtorji
4599	Karel Gržan	slovenski_avtorji, slovenski_duhovniki
4604	Pesem ki je krožila po Ljubljani leta 1919	nepotrjenanepregledanaproblematicna_besedila, slovenske_ljudske_pesmi
4606	Najlepši sneženi mož	slovenske_pravljice, zbirka_slovenskih_mladinskih_leposlovnih_besedil
4608	Čajanka za psa, mačka in papagaja	slovenske_pravljice, zbirka_slovenskih_mladinskih_leposlovnih_besedil
4614	Dragica Gračner	avtorice, slovenski_avtorji
4624	Branka Hubman	avtorice, slovenski_avtorji
4626	O treh netopirjih	zbirka_slovenskih_mladinskih_leposlovnih_besedil, zgodovinske_povesti
4630	Junaška doba Slovencev	dela_leta_1936, gorenjec, podlistki, turske_povesti
4641	Ali si upaš?	delaa, zbirka_slovenskih_mladinskih_leposlovnih_besedil
4642	Jože Šerjak	bozji_sluzabniki, slovenski_avtorji
4662	Manica Koman	avtorice, slovenski_avtorji
4666	Danica Elbl	avtorice, slovenski_avtorji
4669	Kanglica kaše	kratke_slovenske_sodobne_pravljice, mladinska_knjizevnost
4676	Kvantaški stihi	slovenska_knjizevost, slovenski_pesniki, zbirka_slovenskih_leposlovnih_besedil
4677	Jana Kolarič	avtorice, slovenski_avtorji
