bovski_grintavec,author,Bovški Grintavec
bozidar_borko,author,Božidar Borko
bozidar_flegeric,author,Božidar Flegerič
bozidar_raic,author,Božidar Raič
bozo_vodusek,author,Božo Vodušek
branislav_nusic,author,Branislav Nušić
branka_hubman,author,Branka Hubman
branka_jurca,author,Branka Jurca
branko_jeglic,author,Branko Jeglič
branko_pintaric,author,Branko Pintarič
branko_rudolf,author,Branko Rudolf
branko_zuzek,author,Branko Žužek
brat_nardzic,author,Brat Nardžič
bratko_kreft,author,Bratko Kreft
breda_smolnikar,author,Breda Smolnikar
bret_harte,author,Bret Harte
camillo_marulli,author,Camillo Marulli
carl_codelli,author,Carl Codelli
carl_snoilsky,author,Carl Snoilsky
carlo_goldoni,author,Carlo Goldoni
charles_baudelaire,author,Charles Baudelaire
charles_dickens,author,Charles Dickens
charles_nodier,author,Charles Nodier
charles_silvestre,author,Charles Silvestre
charlotte_birch_pfeifer,author,Charlotte Birch-Pfeifer
charlotte_birch_pfeiffer,author,Charlotte Birch-Pfeiffer
cilka_zagar,author,Cilka Žagar
ciril_drekonja,author,Ciril Drekonja
ciril_jeglic,author,Ciril Jeglič
clevelandska_amerika,author,Clevelandska Amerika
cvetka_bevc,author,Cvetka Bevc
cvetka_sokolov,author,Cvetka Sokolov
cvetko_golar,author,Cvetko Golar
d_s_podgorec,author,D. S. Podgorec
damijan_perne,author,Damijan Perne
damir_feigel,author,Damir Feigel
dana_kobler,author,Dana Kobler
dane_zajc,author,Dane Zajc
danica_elbl,author,Danica Elbl
danila_zorz,author,Danila Žorž
dante_alighieri,author,Dante Alighieri
darinka_kobal,author,Darinka Kobal
darinka_topolovec,author,Darinka Topolovec
david_bandelj,author,David Bandelj
david_garrick,author,David Garrick
david_novak,author,David Novak
davorin_bole,author,Davorin Bole
davorin_hostnik,author,Davorin Hostnik
davorin_iskra,author,Davorin Iskra
davorin_petancic,author,Davorin Petančič
davorin_ravljen,author,Davorin Ravljen
davorin_trstenjak,author,Davorin Trstenjak
dela_p,author,Dela P
desa_muck,author,Desa Muck
dim_zupan,author,Dim Zupan
dolina_vrat,author,Dolina Vrat
domen_ursic,author,Domen Uršič
dominik_smole,author,Dominik Smole
don_avgustin_moreto,author,Don Avgustin Moreto
